ASS_NR;IFOPT
880;de:05315:13358
881;de:05315:16357
882;de:05315:16358
883;de:05315:16360
884;de:05315:12669
885;de:05315:15463
886;de:05315:17773
887;de:05315:17779
888;de:05315:17780
890;de:05315:18367
891;de:05315:19352
892;de:05315:17551
894;de:05315:11312
895;de:05315:14675
897;de:05315:12411
898;de:05315:17251
899;de:05315:14473
900;de:05315:15262
901;de:05315:17351
903;de:05315:14414
904;de:05315:12860
905;de:05315:12861
908;de:05315:19255
909;de:05315:17354
910;de:05315:13554
911;de:05315:19254
913;de:05315:11454
914;de:05315:11453
915;de:05315:12564
916;de:05315:12057
918;de:05315:12559
919;de:05315:18356
920;de:05315:11945
921;de:05315:18054
922;de:05315:18055
923;de:05315:18056
924;de:05315:18057
925;de:05315:11854
926;de:05315:13767
927;de:05315:18740
928;de:05315:16755
929;de:05315:16489
930;de:05315:12565
931;de:05362:82353
932;de:05315:19234
933;de:05315:19130
934;de:05315:19235
935;de:05315:19750
937;de:05315:18489
938;de:05315:18463
939;de:05315:18464
940;de:05315:14615
941;de:05315:19640
942;de:05315:19641
943;de:05315:19642
944;de:05315:19643
958;de:05315:11913
959;de:05315:19251
960;de:05315:18058
961;de:05315:19051
962;de:05315:19233
963;de:05315:17063
964;de:05315:17064
965;de:05315:14557
973;de:05315:11151
976;de:05315:14415
981;de:05315:18599
983;de:05315:16753
984;de:05315:16752
985;de:05315:16359
986;de:05315:16356
987;de:05315:16355
988;de:05315:16354
989;de:05315:16352
1000;de:07131:080411
1001;de:07131:080428
1002;de:07137:030048
1004;de:05362:87439
1005;de:05362:87440
1006;de:05362:87444
1007;de:05362:86148
1008;de:07131:080398
1009;de:05362:83763
1010;de:05382:54534
1011;de:05382:54535
1012;de:05122:13700
1013;de:05382:52539
1014;de:05382:52540
1015;de:05382:52552
1016;de:05382:51536
1017;de:05382:51537
1018;de:05358:4261
1019;de:05358:4196
1020;de:05358:4183
1021;de:05358:4142
1022;de:05358:5863
1023;de:05358:5867
1024;de:05358:5845
1025;de:05358:5875
1026;de:05358:5893
1027;de:05316:21301
1028;de:05358:5895
1029;de:05358:5897
1030;de:05358:5896
1031;de:05358:5879
1032;de:05358:5859
1033;de:05162:20208
1034;de:05362:85166
1035;de:05162:20127
1036;de:05162:20199
1037;de:05374:46544
1038;de:05314:63598
1039;de:05382:52733
1040;de:05374:46350
1041;de:05374:46355
1042;de:05382:59976
1043;de:05382:59977
1044;de:05374:46349
1045;de:05314:65354
1046;de:05316:21193
1047;de:05966:11047
1048;de:05120:12395
1049;de:05378:34173
1050;de:05122:13998
1051;de:05374:49356
1052;de:05120:12001
1053;de:05120:12002
1054;de:05120:12047
1055;de:05366:79444
1056;de:05366:79445
1057;de:05366:79446
1058;de:05378:32242
1059;de:05382:56178
1060;de:05382:56179
